,negative_freq,positive_freq,ratio
return,0.03920373755839935,0.0034709193245778614,8.992275333036867
waste,0.022953483648182,0.00225140712945591,7.367112974311025
returned,0.025594149908592323,0.003283302063789869,6.208796277389273
stopped,0.023562868169815152,0.003283302063789869,5.7345636156423465
disappointed,0.039406865732277065,0.006472795497185741,5.407195439443554
unfortunately,0.025594149908592323,0.004409005628517823,4.91664304588266
maybe,0.03696932764574447,0.008818011257035647,3.8673135171377413
pay,0.02640666260410319,0.006566604127579738,3.6220558313878004
half,0.02823481616900264,0.007317073170731708,3.515036548179203
star,0.02640666260410319,0.007035647279549718,3.4106353415799675
bad,0.05464147877310583,0.016697936210131333,3.1439529509239272
won,0.05139142799106236,0.01604127579737336,3.0743841373154503
unless,0.023562868169815152,0.0075046904315197,2.8881554675736765
30,0.02437538086532602,0.007786116322701688,2.888122571261749
trying,0.035141174080845015,0.011538461538461539,2.8824249266931603
support,0.03310989234206785,0.010881801125703566,2.8707678222520387
minutes,0.031078610603290677,0.010412757973733583,2.8107676231389003
instructions,0.029250457038391225,0.009849906191369606,2.7880846621930697
months,0.04550071094860857,0.015853658536585366,2.759087046154778
reason,0.033922405037578714,0.01172607879924953,2.744160678907483
